preco_total,quartos,banheiros,suites,vagas,mobiliado,area_util
5590,3,1,1,2,0,135.0
3200,1,1,1,1,1,40.0
2000,1,1,0,0,0,27.0
2542,2,2,1,1,0,62.0
17254,3,5,3,4,1,240.0
2170,1,1,0,0,1,22.0
1850,2,1,0,1,0,54.0
2600,1,1,1,1,1,37.0
2450,2,2,0,1,0,69.0
3250,2,3,0,1,0,90.0
1100,1,1,0,0,1,60.0
2250,2,2,0,1,0,75.0
9140,4,5,3,4,0,315.0
24400,4,4,4,4,0,335.0
15000,4,5,3,3,1,330.0
19155,2,3,2,2,1,134.0
14190,4,3,2,3,0,304.0
3640,1,1,1,1,1,33.0
3293,1,1,0,1,1,38.0
13800,4,5,2,4,0,213.0
16750,3,6,1,2,1,230.0
3000,1,1,1,1,1,35.0
1767,1,1,0,1,0,35.0
5180,3,2,0,0,0,80.0
2805,3,2,1,1,1,67.0
4710,1,2,1,1,1,60.0
2920,1,1,0,1,0,28.0
4000,5,4,2,2,0,90.0
20500,3,6,3,4,1,216.0
2150,1,1,0,0,0,25.0
4770,1,1,0,1,1,48.0
12000,7,5,3,5,0,627.0
3032,1,1,0,1,1,28.0
8100,3,2,1,2,0,112.0
3500,2,2,0,3,0,97.0
3692,1,1,1,1,1,47.0
15849,4,6,4,3,0,202.0
41140,3,3,1,2,1,49.0
5272,2,4,2,1,0,103.0
3825,1,1,0,1,0,50.0
3181,2,2,1,1,0,60.0
3665,2,3,1,1,0,82.0
8801,3,4,1,2,1,225.0
250000,4,6,4,10,0,1850.0
3000,1,1,1,1,1,42.0
3674,1,2,1,1,1,48.0
2750,1,1,0,0,0,40.0
3955,2,3,2,2,0,90.0
7000,5,3,0,0,0,200.0
3600,1,1,1,1,1,48.0
10885,4,5,1,2,0,241.0
3117,1,1,1,1,1,37.0
2962,1,1,0,1,0,32.0
8854,2,2,1,1,0,160.0
6464,2,3,1,1,0,98.0
1768,1,1,0,0,0,29.0
3153,1,1,0,1,1,52.0
2120,1,2,0,0,0,55.0
9100,2,2,1,1,0,131.0
1837,1,1,0,1,0,36.0
2470,3,1,0,1,0,55.0
1599,2,1,0,1,0,52.0
4311,1,1,1,1,1,42.0
12100,3,3,1,3,0,140.0
3485,2,2,1,2,0,89.0
2300,3,1,0,1,0,74.0
1946,2,1,1,1,0,56.0
3000,1,1,0,1,0,51.0
5287,1,1,1,1,1,44.0
3550,2,1,1,1,1,54.0
4630,2,3,1,1,1,57.0
2500,1,1,1,1,1,32.0
2324,2,1,0,1,0,54.0
27000,2,2,1,2,1,92.0
6398,3,2,1,1,0,100.0
5420,5,2,0,5,0,647.0
3800,2,1,0,1,1,64.0
2608,1,1,1,1,0,44.0
10354,2,2,2,2,1,97.0
5744,3,2,1,1,1,120.0
4430,3,3,1,2,0,117.0
7000,3,1,0,1,0,240.0
2080,1,1,1,1,1,30.0
2180,2,3,2,1,0,60.0
8000,4,5,0,2,0,140.0
3550,1,1,1,1,1,30.0
10332,3,3,1,2,0,278.0
2648,2,1,0,0,0,84.0
4250,1,1,0,1,1,40.0
6230,2,1,0,1,1,52.0
3261,1,1,0,0,0,27.0
4200,2,1,1,1,1,55.0
3550,1,1,0,1,1,37.0
16500,3,4,3,3,0,235.0
15300,1,2,1,2,0,101.0
3870,1,1,1,1,1,32.0
5690,1,1,1,1,1,30.0
12900,1,2,1,2,0,104.0
3850,1,2,1,1,1,47.0
3000,1,1,1,1,1,25.0
3360,1,2,1,1,1,52.0
2300,1,1,0,1,0,25.0
3500,1,1,1,1,1,45.0
2100,1,1,1,1,1,26.0
5200,2,1,1,1,1,70.0
14900,4,2,2,2,0,230.0
1774,1,1,0,0,0,43.0
1000,1,2,1,1,0,50.0
12641,3,5,3,3,0,234.0
3500,3,1,1,2,0,96.0
3049,2,1,1,1,0,72.0
9500,2,2,1,2,1,120.0
5528,3,3,1,1,0,141.0
4000,1,1,0,1,1,55.0
2710,1,1,0,1,0,43.0
6285,3,3,1,2,0,112.0
16700,4,5,2,4,0,206.0
1708,2,1,0,1,0,50.0
1100,1,1,0,0,0,35.0
2640,2,2,0,0,1,97.0
4500,1,1,1,1,1,29.0
2456,1,1,0,1,0,40.0
2940,2,1,0,1,1,65.0
12400,4,5,3,2,1,350.0
4500,2,2,0,1,0,208.0
6500,3,3,1,2,0,132.0
3040,1,1,1,1,1,30.0
6715,4,4,1,2,0,180.0
2250,2,1,0,1,0,48.0
5565,3,2,1,1,0,100.0
9900,3,4,3,1,0,140.0
2550,3,1,1,1,0,70.0
3430,1,1,0,1,0,54.0
2868,1,1,0,0,1,21.0
16900,4,4,4,3,0,355.0
12300,4,4,2,3,0,243.0
1326,1,1,0,1,0,37.0
2385,1,1,0,1,0,28.0
3702,2,2,1,0,0,50.0
10000,3,3,0,4,0,177.0
3000,2,1,0,0,0,200.0
1890,2,1,0,1,0,50.0
2978,2,1,0,1,0,55.0
2120,2,2,0,1,0,66.0
4350,1,1,1,1,1,43.0
4525,2,1,0,1,0,86.0
6200,3,4,1,2,0,106.0
75200,4,6,4,0,0,421.0
4120,2,2,1,0,1,85.0
2954,1,1,0,0,0,57.0
950,2,1,0,0,0,45.0
880,1,1,0,0,0,80.0
28000,4,5,4,5,0,316.0
3551,1,2,1,1,1,35.0
6400,4,4,3,5,0,340.0
8840,4,5,2,4,0,160.0
2618,2,2,1,1,0,55.0
1500,1,1,0,1,0,34.0
1890,1,1,0,0,0,65.0
3500,4,4,2,3,1,250.0
4540,3,2,1,1,0,106.0
5050,4,3,1,1,0,140.0
1000,1,1,0,1,0,50.0
3025,1,1,1,1,1,28.0
3100,1,1,1,1,1,42.0
2664,2,1,0,0,0,92.0
3533,2,1,0,2,0,108.0
9550,3,4,2,2,0,124.0
28300,4,6,4,5,1,425.0
27438,4,6,4,4,0,302.0
7250,2,1,0,1,1,60.0
5000,1,2,1,1,1,50.0
3900,1,1,1,1,1,45.0
5503,3,3,1,3,0,210.0
12057,1,1,1,2,0,77.0
3082,1,1,1,1,1,46.0
52907,4,5,4,5,0,310.0
28300,3,5,3,4,0,192.0
8289,3,3,1,2,1,104.0
5850,3,4,3,3,1,144.0
3000,2,1,0,1,0,77.0
25500,4,6,4,4,0,275.0
4585,2,1,0,1,0,89.0
3120,1,1,1,1,1,29.0
2700,1,1,1,1,1,35.0
4600,1,1,1,1,1,44.0
6500,2,3,1,2,0,110.0
2600,1,1,1,1,1,35.0
13000,5,2,0,0,0,365.0
3909,3,2,1,1,0,135.0
8000,1,1,0,2,1,76.0
3620,1,1,1,1,1,24.0
3754,1,1,0,1,0,41.0
2504,1,1,0,0,1,22.0
3900,1,1,1,1,1,46.0
12000,5,6,2,4,0,500.0
3574,3,2,0,1,0,70.0
